Event	ID	Name			Wwise Object Path	Notes
	175821544	Play_title_ui_settingsmenu_unpause_01			\Default Work Unit\Play_title_ui_settingsmenu_unpause_01	
	653376297	Play_common_int_rock_roll_01			\Default Work Unit\Play_common_int_rock_roll_01	
	1386470624	Play_common_plr_flyingfish_glide			\Default Work Unit\Play_common_plr_flyingfish_glide	
	1581394617	Play_title_ui_menu_back_01			\Default Work Unit\Play_title_ui_menu_back_01	
	1724980281	Play_common_plr_player_death_01			\Default Work Unit\Play_common_plr_player_death_01	
	1749636642	Play_title_ui_menu_select_01			\Default Work Unit\Play_title_ui_menu_select_01	
	1866911637	Play_common_plr_player_jump			\Default Work Unit\Play_common_plr_player_jump	
	2242250017	Play_common_int_door_open_01			\Default Work Unit\Play_common_int_door_open_01	
	2605310083	Play_common_plr_player_dive			\Default Work Unit\Play_common_plr_player_dive	
	2750027184	Play_common_env_water_fall_flow_01			\Default Work Unit\Play_common_env_water_fall_flow_01	
	2859081383	Play_common_int_door_close_01			\Default Work Unit\Play_common_int_door_close_01	
	3080119269	Play_title_ui_settingsmenu_pause_01			\Default Work Unit\Play_title_ui_settingsmenu_pause_01	
	3811694949	Play_common_plr_player_swim_01			\Default Work Unit\Play_common_plr_player_swim_01	
	3848493319	Play_title_ui_menu_nav_01			\Default Work Unit\Play_title_ui_menu_nav_01	
	4282753298	Play_common_int_rock_impact			\Default Work Unit\Play_common_int_rock_impact	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	105382696	title_ui_settingsmenu_pause_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\title_ui_settingsmenu_pause_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\TitleScreen\UI\title_ui_settingsmenu_pause_01		384096
	147384092	common_plr_player_swim_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_swim_01_00360749.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_swim_01		2611136
	183307966	common_plr_player_dive_02	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_dive_02_1CD0F55C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_dive\common_plr_player_dive_02		194508
	289684235	title_ui_menu_nav_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\title_ui_menu_nav_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\TitleScreen\UI\title_ui_menu_nav_01		96096
	388277311	common_plr_player_dive_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_dive_01_0A2F5C74.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_dive\common_plr_player_dive_01		189416
	425912349	common_plr_flyingfish_glide_03	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_flyingfish_glide_03_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_flyingfish_glide\common_plr_flyingfish_glide_03		384096
	450924752	common_int_rock_impact_03	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_int_rock_impact_03_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Interactable\common_int_rock_impact\common_int_rock_impact_03		192096
	461119039	common_plr_player_jump_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_jump_01_85FE7E7E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_jump\common_plr_player_jump_01		227760
	502605611	common_int_door_close_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_int_door_close_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Interactable\common_int_door_close_01		384096
	527424981	common_plr_player_jump_03	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_jump_03_774FFFB8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_jump\common_plr_player_jump_03		233660
